index,1. open,2. high,3. low,4. close,5. volume
2020-11-11 20:00:00,128.25,128.25,128.25,128.25,188.0
2020-11-11 19:00:00,128.1,128.1,128.1,128.1,708.0
2020-11-11 18:00:00,128.45,128.45,128.06,128.06,5388.0
2020-11-11 17:00:00,127.66,128.85,126.99,128.47,84342.0
2020-11-11 16:00:00,127.57,127.96,127.39,127.66,1120158.0
2020-11-11 15:00:00,127.86,128.0471,127.18,127.5356,375040.0
2020-11-11 14:00:00,128.26,128.49,127.8256,127.84,274605.0
2020-11-11 13:00:00,128.475,128.68,128.24,128.2498,281377.0
2020-11-11 12:00:00,128.27,128.7132,128.09,128.4688,381876.0
2020-11-11 11:00:00,128.93,128.99,127.67,128.3,518107.0
2020-11-11 10:00:00,128.59,129.7985,128.29,128.91,507930.0
2020-11-11 09:00:00,128.6684,128.6684,128.2094,128.2094,305.0
2020-11-10 20:00:00,127.55,127.55,127.16,127.16,245.0
2020-11-10 17:00:00,127.71,127.7228,127.7,127.7228,611384.0
2020-11-10 16:00:00,127.36,127.71,126.91,127.7,1642132.0
2020-11-10 15:00:00,127.69,127.81,126.98,127.37,503401.0
2020-11-10 14:00:00,128.21,128.32,127.32,127.72,287139.0
2020-11-10 13:00:00,128.0675,128.81,127.62,128.185,447257.0
2020-11-10 12:00:00,127.235,129.1,127.22,128.08,581216.0
2020-11-10 11:00:00,127.49,128.44,126.25,127.235,728824.0
2020-11-10 10:00:00,128.3,130.2,127.1501,127.52,836439.0
2020-11-10 09:00:00,128.4,128.4,127.58,128.3,9170.0
2020-11-10 08:00:00,128.5,128.5,128.4,128.4,481.0
2020-11-10 07:00:00,129.0,129.0,128.5,128.66,3535.0
2020-11-10 05:00:00,129.0,129.99,129.0,129.8,311.0
2020-11-09 20:00:00,128.98,128.98,128.0,128.54,1535.0
2020-11-09 19:00:00,129.5,129.53,129.5,129.53,205.0
2020-11-09 18:00:00,128.95,129.25,128.7,128.7,1163.0
2020-11-09 17:00:00,128.95,129.48,128.91,129.08,226933.0
2020-11-09 16:00:00,131.64,131.69,128.7652,128.99,1214895.0
2020-11-09 15:00:00,133.03,133.04,131.5,131.63,456738.0
2020-11-09 14:00:00,132.95,133.16,132.59,133.005,397790.0
2020-11-09 13:00:00,131.9,132.98,131.86,132.94,438126.0
2020-11-09 12:00:00,132.93,133.34,131.71,131.88,593589.0
2020-11-09 11:00:00,133.635,134.4,131.7302,132.94,1150028.0
2020-11-09 10:00:00,136.07,139.09,133.38,133.7049,1508687.0
2020-11-09 09:00:00,135.9852,138.5,133.0,136.0,49829.0
2020-11-09 08:00:00,130.9,139.0,130.9,138.99,25513.0
2020-11-09 07:00:00,130.14,135.51,130.14,135.45,3972.0
2020-11-09 05:00:00,130.33,130.33,130.33,130.33,450.0
2020-11-06 19:00:00,129.2,129.2,128.9,128.9,600.0
2020-11-06 17:00:00,128.9,128.9129,128.8,128.9,49717.0
2020-11-06 16:00:00,128.76,129.35,128.535,128.89,629916.0
2020-11-06 15:00:00,128.87,129.06,128.66,128.77,226341.0
2020-11-06 14:00:00,128.56,128.96,128.52,128.85,185920.0
2020-11-06 13:00:00,129.22,129.295,128.3477,128.56,202736.0
2020-11-06 12:00:00,128.47,129.45,128.42,129.23,359139.0
2020-11-06 11:00:00,128.82,129.19,128.44,128.53,456994.0
2020-11-06 10:00:00,129.46,129.9633,128.61,128.845,495403.0
2020-11-06 09:00:00,128.0061,129.72,128.0,129.72,7815.0
2020-11-06 08:00:00,128.79,128.79,128.4,128.48,632.0
2020-11-06 06:00:00,127.68,127.68,127.68,127.68,267.0
2020-11-06 05:00:00,128.0,128.0,128.0,128.0,305.0
2020-11-05 20:00:00,128.75,128.78,128.75,128.78,1002.0
2020-11-05 19:00:00,129.85,129.85,128.75,128.75,1138.0
2020-11-05 18:00:00,129.7901,129.9999,129.7901,129.82,827.0
2020-11-05 17:00:00,129.7,129.82,129.687,129.82,335057.0
2020-11-05 16:00:00,129.72,129.9,129.16,129.65,697802.0
2020-11-05 15:00:00,129.255,129.89,129.13,129.7,292779.0
2020-11-05 14:00:00,129.24,129.61,129.075,129.255,287959.0
2020-11-05 13:00:00,129.06,129.26,128.46,129.22,342653.0
2020-11-05 12:00:00,129.37,129.78,128.88,129.05,323894.0
2020-11-05 11:00:00,129.44,130.225,128.89,129.37,570568.0
2020-11-05 10:00:00,129.39,130.41,128.86,129.44,716432.0
2020-11-05 09:00:00,128.01,129.5,128.01,129.5,2283.0
2020-11-05 08:00:00,129.04,129.04,128.8,129.0,985.0
2020-11-05 06:00:00,129.04,129.04,129.04,129.04,177.0
2020-11-04 20:00:00,127.3,127.3,127.3,127.3,101.0
2020-11-04 19:00:00,127.54,127.54,126.97,126.97,527.0
2020-11-04 18:00:00,127.71,127.77,127.71,127.77,200.0
2020-11-04 17:00:00,127.34,127.98,126.87,127.71,154688.0
2020-11-04 16:00:00,128.64,128.69,127.21,127.34,911513.0
2020-11-04 15:00:00,128.28,128.79,128.06,128.6,466660.0
2020-11-04 14:00:00,128.37,128.66,127.83,128.27,353166.0
