index,1. open,2. high,3. low,4. close,5. volume
2020-11-11 20:00:00,18.12,18.12,18.08,18.08,906.0
2020-11-11 17:00:00,18.07,18.07,18.07,18.07,19557.0
2020-11-11 16:00:00,17.91,18.1,17.7,18.07,797023.0
2020-11-11 15:00:00,18.1,18.135,17.83,17.9,171522.0
2020-11-11 14:00:00,18.0,18.19,17.99,18.1,157488.0
2020-11-11 13:00:00,18.11,18.15,17.96,17.99,122698.0
2020-11-11 12:00:00,18.0,18.23,17.87,18.11,180375.0
2020-11-11 11:00:00,18.48,18.52,17.94,18.01,585414.0
2020-11-11 10:00:00,18.8,18.8,18.43,18.5,298130.0
2020-11-10 20:00:00,18.65,18.65,18.65,18.65,100.0
2020-11-10 17:00:00,18.74,18.74,18.74,18.74,20741.0
2020-11-10 16:00:00,18.825,18.87,18.615,18.74,617620.0
2020-11-10 15:00:00,18.69,18.825,18.64,18.825,191663.0
2020-11-10 14:00:00,18.74,18.8,18.53,18.6901,189918.0
2020-11-10 13:00:00,18.48,18.9,18.48,18.74,188469.0
2020-11-10 12:00:00,18.78,18.84,18.41,18.475,314466.0
2020-11-10 11:00:00,18.62,18.88,18.42,18.775,400913.0
2020-11-10 10:00:00,18.26,19.06,18.01,18.64,520514.0
2020-11-10 09:00:00,18.31,18.4,18.31,18.4,2500.0
2020-11-10 08:00:00,18.49,18.49,18.49,18.49,500.0
2020-11-09 18:00:00,18.41,18.41,18.41,18.41,100.0
2020-11-09 17:00:00,18.67,18.67,18.65,18.65,20840.0
2020-11-09 16:00:00,18.85,18.92,18.63,18.67,1314838.0
2020-11-09 15:00:00,18.57,18.85,18.545,18.85,451512.0
2020-11-09 14:00:00,18.45,18.6,18.29,18.57,410424.0
2020-11-09 13:00:00,17.76,18.49,17.46,18.44,675110.0
2020-11-09 12:00:00,18.05,18.4,17.74,17.76,816104.0
2020-11-09 11:00:00,17.785,18.17,17.6,18.0583,911948.0
2020-11-09 10:00:00,16.76,17.85,16.1,17.79,657535.0
2020-11-09 09:00:00,16.53,17.0,16.49,16.85,6927.0
