,text
0,This clip from Australian news sums up the scale of the persecution of #Uyghurs
1,"Thank you for speaking for #Uyghurs too. 
#standwithozil"
2,"The #UNHRC should think about the children of the #Uyghurs, kept away from their parents. China keeps 3 million Uighurs in concentration camps. China is now part of the UNHRC, which is totally outrageous. China is committing genocide against several minorities. #Europe #UN75"
3,"When will you see Uyghurs? #HearUyghurs ? Feel Uyghurs? Read replies of Uyghurs on the voice of 
@MesutOzil1088
 ? When will you see the footage of of #UyghurGenocide? Imagine the pain of #Uyghurs? When???!!!!! When will your thoughts will be with Uyghurs??????"
4,Nigeria 
5,"4 #Uyghurs deported to #China by #Indonesia. 

The #Indonesian government needs to be held accountable.

Do your bit and share this message  by hash-tagging #IndonesiaStopDeportingUyghurs

Source:"
6,"You're right; it SHOULD be about unity and diversity! So why is it that the 2022 Olympics are being held in a country that's actively committing genocide against the #Uyghurs, and violating the rights of the #Tibetans, #SouthernMongolians and #Hongkongers?"
7,"The Olympics are about unity and diversity, not politics and profit. Boycotts don't work. By Thomas Bach https://theguardian.com/sport/2020/oct/24/the-olympics-are-about-diversity-and-unity-not-politics-and-profit-boycotts-dont-work-thomas-bach?CMP=share_btn_tw…"
8," ""Today in review #Tiananmen #Uyghurs"" published by 
@ADHRRF_English"
9,"What is #AdolfErdogan's problem with Kurds and 
ing, and paying mercenaries to kill innocents, and trying to reestablish the Ottoman Empire? He needs treatment. 

And he speaks for 
? Why isn't he helping #Uyghurs? 
@trpresidency
 @starrcongress
 @ShehabAgencyEn
 #Chinasbitch"
10,"We all know 
@EmmanuelMacron
 cares more about #Muslims than 
@trpresidency
 #Erdogan, who is a sell out to his religion and people #Uyghurs #UyghurGenocide #Xitler #Merkel 
@vonderleyen
 @eucopresident"
11,France is recalling its ambassador in Ankara after Turkish President Erdogan criticized Macron’s policy toward Islam and said the French president needed “mental treatment” https://trib.al/uxLfj04
12,Don't you see #Uyghurs !?!?!?
13,"Manual citations taking too long to gather, sort and format? Run multiple automated workflows, and begin to power your work with EndNote."
